iter	Passed	Remaining
0	77	77464
1	105	52720
2	141	47079
3	174	43337
4	203	40559
5	231	38272
6	322	45738
7	393	48837
8	442	48724
9	507	50194
10	573	51538
11	608	50135
12	643	48862
13	691	48723
14	749	49186
15	791	48686
16	823	47632
17	857	46797
18	903	46643
19	938	46005
20	980	45732
21	1008	44816
22	1032	43857
23	1060	43131
24	1083	42263
25	1114	41766
26	1164	41965
27	1205	41860
28	1235	41375
29	1264	40895
30	1293	40444
31	1332	40312
32	1380	40460
33	1420	40371
34	1448	39925
35	1476	39541
36	1501	39076
37	1528	38690
38	1571	38733
39	1606	38548
40	1632	38196
41	1656	37786
42	1683	37468
43	1706	37080
44	1730	36735
45	1752	36344
46	1795	36408
47	1835	36410
48	1869	36274
49	1893	35969
50	1916	35664
51	1942	35415
52	1988	35537
53	2020	35399
54	2055	35310
55	2079	35053
56	2107	34867
57	2131	34625
58	2155	34378
59	2184	34219
60	2235	34405
61	2265	34270
62	2293	34111
63	2316	33883
64	2340	33673
65	2364	33460
66	2393	33332
67	2432	33343
68	2465	33263
69	2487	33052
70	2511	32858
71	2536	32698
72	2562	32539
73	2586	32369
74	2624	32374
75	2669	32460
76	2694	32299
77	2719	32143
78	2743	31979
79	2770	31863
80	2809	31874
81	2836	31760
82	2875	31767
83	2896	31583
84	2922	31461
85	2946	31312
86	2970	31172
87	2993	31021
88	3021	30923
89	3061	30954
90	3088	30849
91	3116	30759
92	3140	30625
93	3165	30511
94	3187	30369
95	3211	30239
96	3239	30152
97	3289	30276
98	3319	30208
99	3342	30083
100	3366	29967
101	3392	29864
102	3417	29759
103	3441	29646
104	3474	29617
105	3514	29640
106	3540	29550
107	3566	29457
108	3588	29334
109	3614	29248
110	3636	29128
111	3665	29062
112	3704	29075
113	3747	29121
114	3768	29002
115	3800	28964
116	3825	28868
117	3849	28770
118	3875	28692
119	3913	28698
120	3946	28667
121	3968	28561
122	3992	28464
123	4013	28350
124	4038	28266
125	4062	28179
126	4089	28109
127	4141	28214
128	4172	28170
129	4195	28078
130	4218	27985
131	4244	27913
132	4269	27832
133	4297	27775
134	4331	27753
135	4371	27774
136	4397	27702
137	4420	27612
138	4445	27534
139	4467	27442
140	4491	27364
141	4515	27285
142	4562	27345
143	4592	27302
144	4623	27261
145	4647	27185
146	4670	27098
147	4697	27042
148	4735	27049
149	4764	27001
150	4796	26965
151	4817	26877
152	4840	26796
153	4865	26731
154	4889	26655
155	4913	26584
156	4950	26582
157	4989	26592
158	5017	26539
159	5044	26483
160	5068	26411
161	5093	26345
162	5115	26267
163	5138	26193
164	5178	26205
165	5216	26206
166	5247	26173
167	5269	26097
168	5294	26033
169	5318	25966
170	5344	25910
171	5376	25882
172	5407	25848
173	5439	25820
174	5460	25741
175	5482	25667
176	5504	25596
177	5532	25547
178	5556	25484
179	5585	25446
180	5627	25465
181	5661	25445
182	5689	25400
183	5710	25325
184	5735	25267
185	5761	25215
186	5787	25161
187	5826	25163
188	5872	25198
189	5895	25133
190	5920	25075
191	5946	25026
192	5973	24978
193	6018	25004
194	6055	24996
195	6081	24947
196	6103	24879
197	6128	24822
198	6151	24760
199	6180	24721
200	6215	24708
201	6243	24666
202	6275	24638
203	6296	24569
204	6322	24520
205	6345	24457
206	6368	24398
207	6393	24345
208	6418	24292
209	6462	24311
210	6492	24277
211	6523	24248
212	6545	24182
213	6567	24120
214	6593	24072
215	6619	24025
216	6647	23985
217	6683	23975
218	6725	23983
219	6746	23920
220	6770	23866
221	6795	23813
222	6818	23758
223	6842	23705
224	6874	23680
225	6917	23690
226	6946	23653
227	6971	23604
228	6996	23556
229	7020	23503
230	7043	23449
231	7069	23401
232	7093	23351
233	7129	23337
234	7159	23306
235	7187	23269
236	7213	23223
237	7235	23166
238	7259	23116
239	7285	23070
240	7316	23041
241	7352	23030
242	7387	23013
243	7412	22965
244	7435	22915
245	7463	22876
246	7488	22830
247	7517	22793
248	7563	22812
249	7595	22786
250	7618	22735
251	7640	22679
252	7665	22631
253	7688	22581
254	7713	22534
255	7744	22506
256	7786	22510
257	7821	22495
258	7858	22484
259	7882	22435
260	7906	22386
261	7930	22338
262	7961	22309
263	8011	22334
264	8043	22309
265	8066	22259
266	8088	22206
267	8112	22158
268	8137	22113
269	8161	22066
270	8204	22071
271	8233	22037
272	8262	22002
273	8285	21952
274	8309	21906
275	8333	21860
276	8356	21812
277	8383	21772
278	8420	21759
279	8449	21726
280	8481	21700
281	8502	21648
282	8524	21596
283	8550	21557
284	8576	21516
285	8602	21476
286	8662	21520
287	8694	21493
288	8717	21448
289	8746	21413
290	8767	21362
291	8795	21325
292	8819	21281
293	8867	21293
294	8898	21266
295	8925	21228
296	8947	21177
297	8970	21130
298	8996	21091
299	9024	21057
300	9060	21041
301	9088	21006
302	9112	20962
303	9137	20920
304	9160	20874
305	9186	20834
306	9209	20787
307	9235	20750
308	9283	20759
309	9306	20714
310	9335	20681
311	9357	20634
312	9381	20591
313	9405	20547
314	9428	20503
315	9450	20456
316	9484	20434
317	9531	20441
318	9554	20395
319	9577	20352
320	9601	20310
321	9629	20275
322	9654	20235
323	9691	20221
324	9731	20211
325	9753	20165
326	9778	20125
327	9799	20078
328	9826	20042
329	9852	20004
330	9898	20006
331	9928	19976
332	9959	19949
333	9981	19902
334	10005	19861
335	10029	19819
336	10058	19789
337	10093	19769
338	10130	19753
339	10153	19709
340	10174	19663
341	10196	19617
342	10222	19580
343	10246	19540
344	10277	19511
345	10325	19516
346	10357	19491
347	10380	19448
348	10404	19407
349	10428	19367
350	10453	19329
351	10476	19286
352	10504	19253
353	10547	19248
354	10578	19219
355	10603	19181
356	10625	19136
357	10650	19099
358	10673	19057
359	10694	19013
360	10721	18977
361	10765	18972
362	10786	18928
363	10814	18896
364	10836	18852
365	10859	18811
366	10887	18778
367	10915	18746
368	10955	18734
369	11001	18732
370	11022	18687
371	11052	18658
372	11076	18619
373	11100	18579
374	11125	18543
375	11171	18540
376	11197	18503
377	11226	18473
378	11252	18436
379	11277	18400
380	11301	18361
381	11325	18321
382	11349	18283
383	11376	18249
384	11414	18232
385	11443	18202
386	11465	18160
387	11487	18118
388	11511	18081
389	11537	18046
390	11560	18005
391	11586	17970
392	11625	17955
393	11662	17938
394	11688	17903
395	11711	17863
396	11739	17830
397	11763	17793
398	11794	17765
399	11832	17748
400	11868	17728
401	11910	17718
402	11957	17713
403	12008	17714
404	12086	17756
405	12121	17734
406	12149	17701
407	12185	17680
408	12230	17673
409	12305	17707
410	12335	17677
411	12360	17641
412	12386	17604
413	12415	17573
414	12446	17544
415	12485	17527
416	12515	17497
417	12552	17477
418	12579	17443
419	12609	17412
420	12633	17374
421	12663	17344
422	12688	17308
423	12742	17310
424	12780	17291
425	12805	17254
426	12831	17218
427	12859	17185
428	12884	17149
429	12914	17119
430	12956	17105
431	12987	17076
432	13011	17037
433	13036	17001
434	13062	16966
435	13089	16932
436	13118	16900
437	13166	16894
438	13195	16862
439	13224	16831
440	13248	16793
441	13276	16760
442	13302	16726
443	13332	16695
444	13383	16692
445	13416	16665
446	13441	16628
447	13465	16590
448	13489	16553
449	13513	16516
450	13541	16483
451	13582	16467
452	13613	16438
453	13636	16400
454	13661	16363
455	13687	16328
456	13711	16291
457	13737	16256
458	13769	16229
459	13814	16216
460	13843	16185
461	13872	16154
462	13898	16119
463	13924	16085
464	13948	16048
465	13976	16015
466	14015	15995
467	14058	15980
468	14081	15943
469	14111	15912
470	14137	15878
471	14166	15846
472	14205	15827
473	14242	15804
474	14270	15772
475	14298	15740
476	14338	15721
477	14389	15714
478	14437	15703
479	14471	15677
480	14509	15655
481	14540	15626
482	14578	15604
483	14638	15606
484	14702	15611
485	14732	15581
486	14770	15558
487	14808	15537
488	14859	15527
489	14898	15506
490	14936	15484
491	14972	15459
492	15014	15441
493	15050	15416
494	15078	15383
495	15102	15346
496	15128	15311
497	15158	15280
498	15198	15259
499	15223	15223
500	15250	15189
501	15273	15152
502	15307	15125
503	15334	15091
504	15358	15054
505	15385	15020
506	15419	14993
507	15466	14979
508	15511	14963
509	15538	14929
510	15564	14893
511	15599	14867
512	15631	14839
513	15676	14822
514	15719	14803
515	15746	14769
516	15779	14741
517	15828	14728
518	15873	14711
519	15901	14678
520	15931	14647
521	15962	14616
522	15992	14585
523	16021	14553
524	16069	14538
525	16102	14511
526	16135	14482
527	16171	14456
528	16201	14424
529	16246	14407
530	16280	14379
531	16314	14351
532	16342	14319
533	16376	14290
534	16407	14260
535	16443	14235
536	16495	14222
537	16528	14193
538	16554	14159
539	16579	14123
540	16607	14090
541	16640	14061
542	16681	14039
543	16716	14012
544	16744	13979
545	16772	13946
546	16798	13911
547	16825	13877
548	16859	13849
549	16913	13838
550	16947	13810
551	16975	13777
552	16999	13740
553	17029	13709
554	17056	13675
555	17087	13645
556	17144	13635
557	17179	13608
558	17218	13583
559	17249	13552
560	17276	13519
561	17306	13488
562	17356	13471
563	17393	13446
564	17423	13414
565	17453	13382
566	17480	13349
567	17517	13323
568	17573	13311
569	17618	13291
570	17641	13253
571	17665	13218
572	17688	13181
573	17712	13145
574	17737	13110
575	17766	13078
576	17804	13052
577	17834	13021
578	17859	12986
579	17881	12948
580	17905	12913
581	17931	12878
582	17954	12842
583	17981	12808
584	18029	12790
585	18052	12753
586	18074	12716
587	18095	12679
588	18118	12642
589	18173	12629
590	18202	12596
591	18230	12563
